Time,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7
264,-0.059248455,-4.917647,-4.6891313,-3.2389364,-8.379561,-7.178389,-7.1080766
265,-0.05879682,-4.9328203,-4.6955156,-3.2453206,-8.383016,-7.18575,-7.1095777
266,-0.057901915,-4.9475503,-4.7034097,-3.2620037,-8.39384,-7.20048,-7.120402
267,-0.05765809,-4.945353,-4.6992598,-3.2695725,-8.385782,-7.2002363,-7.116252
268,-0.057199903,-4.954661,-4.7075906,-3.2769265,-8.397043,-7.2056375,-7.1236057
269,-0.056570042,-4.9667263,-4.719656,-3.2870388,-8.408133,-7.21868,-7.136648
270,-0.056299306,-4.9732914,-4.7271976,-3.2906744,-8.411768,-7.2242684,-7.1402836
271,-0.055852965,-4.981634,-4.7394466,-3.2970638,-8.42304,-7.2355404,-7.151556
272,-0.055608068,-4.986272,-4.7460375,-3.3007255,-8.430608,-7.2392025,-7.155217
273,-0.055122416,-4.9906693,-4.7504344,-3.3109818,-8.437935,-7.248482,-7.164497
274,-0.05485005,-4.994303,-4.7560215,-3.3155923,-8.445475,-7.2579756,-7.175944
275,-0.054617546,-5.0057893,-4.772391,-3.3153598,-8.460868,-7.2636027,-7.1815705
276,-0.05424948,-5.015187,-4.780812,-3.320851,-8.4722185,-7.2730002,-7.190968
277,-0.054176684,-5.0141377,-4.781715,-3.3227313,-8.46824,-7.274881,-7.190895
278,-0.053966038,-5.0168567,-4.785411,-3.326427,-8.479747,-7.2844357,-7.2024035
279,-0.053962007,-5.0236883,-4.797126,-3.3225167,-8.483649,-7.284432,-7.204353
280,-0.053677008,-5.031216,-4.8105125,-3.3251615,-8.495084,-7.293913,-7.2138333
281,-0.053779904,-5.0322957,-4.822334,-3.3194048,-8.502998,-7.295969,-7.2197957
282,-0.053776827,-5.031316,-4.8272133,-3.3184254,-8.5029955,-7.299872,-7.2236986
283,-0.053893063,-5.027526,-4.833189,-3.3146353,-8.503112,-7.301942,-7.2277217
284,-0.053995095,-5.0286045,-4.84208,-3.3098545,-8.503214,-7.302044,-7.2278237
